crop_key,bs_month,forecasted_avg,forecasted_lower,forecasted_upper,forecast_days,nepali_month
tomato,1,50.31,30.24,71.48,31,Baisakh
tomato,2,59.57,37.0,82.7,31,Jestha
tomato,3,54.06,34.44,73.92,32,Ashadh
tomato,4,58.79,40.84,76.29,31,Shrawan
tomato,5,64.35,46.62,82.2,31,Bhadra
tomato,6,71.86,54.02,89.92,31,Ashwin
tomato,7,81.08,63.1,99.31,30,Kartik
tomato,8,78.57,60.05,97.39,29,Mangsir
tomato,9,57.14,38.56,75.74,30,Poush
tomato,10,44.97,26.53,63.53,29,Magh
tomato,11,44.8,26.13,63.86,30,Falgun
tomato,12,57.57,37.85,78.42,30,Chaitra
potato,1,25.94,1.85,55.11,31,Baisakh
potato,2,27.32,0.0,63.68,31,Jestha
potato,3,36.22,20.42,58.87,32,Ashadh
potato,4,46.46,41.61,51.41,31,Shrawan
potato,5,49.08,43.39,55.15,31,Bhadra
potato,6,54.41,46.58,63.26,31,Ashwin
potato,7,55.16,43.99,68.5,30,Kartik
potato,8,46.6,33.38,62.83,29,Mangsir
potato,9,32.91,20.1,48.43,30,Poush
potato,10,25.82,12.69,41.92,29,Magh
potato,11,23.19,8.39,40.96,30,Falgun
potato,12,24.63,5.58,47.69,30,Chaitra
onion,1,15.52,0.0,56.8,31,Baisakh
onion,2,14.64,0.0,65.89,31,Jestha
onion,3,45.08,26.56,89.22,32,Ashadh
onion,4,78.92,58.29,99.35,31,Shrawan
onion,5,81.22,59.35,103.12,31,Bhadra
onion,6,76.12,50.88,100.98,31,Ashwin
onion,7,62.13,34.52,90.14,30,Kartik
onion,8,44.97,15.54,73.51,29,Mangsir
onion,9,34.66,3.65,64.84,30,Poush
onion,10,30.6,0.0,64.89,29,Magh
onion,11,23.37,0.0,58.43,30,Falgun
onion,12,16.5,0.0,51.21,30,Chaitra
carrot,1,48.33,16.28,83.53,31,Baisakh
carrot,2,58.51,18.28,103.36,31,Jestha
carrot,3,83.73,46.36,123.82,32,Ashadh
carrot,4,103.54,83.17,123.66,31,Shrawan
carrot,5,108.42,87.59,129.41,31,Bhadra
carrot,6,115.99,93.73,139.21,31,Ashwin
carrot,7,113.05,88.62,139.43,30,Kartik
carrot,8,102.04,75.84,130.65,29,Mangsir
carrot,9,76.44,49.96,104.73,30,Poush
carrot,10,41.1,17.39,65.86,29,Magh
