Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Amla,1,Baisakh,kg,90.0,100.0,95.0,5
Amla,4,Shrawan,kg,100.0,160.0,125.56,9
Amla,5,Bhadra,kg,60.0,130.0,81.83,31
Amla,6,Ashwin,kg,50.0,90.0,76.78,29
Amla,7,Kartik,kg,50.0,80.0,65.72,30
Amla,8,Mangsir,kg,50.0,80.0,63.1,28
Amla,9,Poush,kg,50.0,70.0,65.22,30
Amla,10,Magh,kg,50.0,90.0,66.9,29
Amla,11,Falgun,kg,60.0,110.0,80.0,29
Amla,12,Chaitra,kg,80.0,140.0,105.72,30
Apple(Fuji),1,Baisakh,kg,250.0,300.0,270.0,30
Apple(Fuji),2,Jestha,kg,240.0,300.0,273.55,31
Apple(Fuji),3,Asar,kg,250.0,300.0,277.03,32
Apple(Fuji),4,Shrawan,kg,250.0,325.0,292.5,31
Apple(Fuji),5,Bhadra,kg,250.0,300.0,269.33,30
Apple(Fuji),6,Ashwin,kg,250.0,300.0,271.28,30
Apple(Fuji),7,Kartik,kg,220.0,300.0,264.0,30
Apple(Fuji),8,Mangsir,kg,220.0,280.0,249.52,26
Apple(Fuji),9,Poush,kg,220.0,300.0,256.78,30
Apple(Fuji),10,Magh,kg,250.0,300.0,275.69,29
Apple(Fuji),11,Falgun,kg,250.0,300.0,275.98,29
Apple(Fuji),12,Chaitra,kg,225.0,300.0,270.92,30
Apple(Jholey),1,Baisakh,kg,180.0,250.0,203.0,15
Apple(Jholey),2,Jestha,kg,180.0,220.0,203.1,14
Apple(Jholey),5,Bhadra,kg,250.0,280.0,265.0,1
Apple(Jholey),6,Ashwin,kg,250.0,280.0,265.0,1
Apple(Jholey),8,Mangsir,kg,220.0,250.0,237.5,2
Apple(Jholey),10,Magh,kg,250.0,280.0,262.5,20
Apple(Jholey),11,Falgun,kg,180.0,260.0,210.4,29
Apple(Jholey),12,Chaitra,kg,150.0,250.0,206.61,30
Arum,1,Baisakh,kg,40.0,50.0,45.14,12
Arum,3,Asar,kg,40.0,80.0,53.4,25
Arum,4,Shrawan,kg,50.0,70.0,56.72,31
Arum,5,Bhadra,kg,40.0,60.0,49.72,31
Arum,6,Ashwin,kg,40.0,60.0,50.32,19
Arum,7,Kartik,kg,40.0,60.0,50.58,28
Arum,8,Mangsir,kg,40.0,50.0,45.95,26
Arum,9,Poush,kg,30.0,50.0,45.61,30
Arum,10,Magh,kg,40.0,50.0,45.3,28
Arum,11,Falgun,kg,40.0,70.0,49.92,28
Arum,12,Chaitra,kg,40.0,60.0,46.09,29
Asparagus,1,Baisakh,kg,250.0,500.0,373.33,30
Asparagus,2,Jestha,kg,150.0,350.0,222.42,31
Asparagus,3,Asar,kg,200.0,350.0,255.42,32
Asparagus,4,Shrawan,kg,200.0,600.0,414.01,31
Asparagus,5,Bhadra,kg,400.0,900.0,531.72,31
Asparagus,6,Ashwin,kg,0.0,900.0,453.89,30
Asparagus,7,Kartik,kg,0.0,900.0,220.69,29
Asparagus,8,Mangsir,kg,0.0,999.99,100.0,28
