Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Amla,1,Baisakh,kg,90.0,200.0,130.22,23
Amla,5,Bhadra,kg,90.0,200.0,128.7,18
Amla,6,Ashwin,kg,60.0,140.0,82.58,11
Apple(Fuji),1,Baisakh,kg,225.0,300.0,259.97,31
Apple(Fuji),2,Jestha,kg,240.0,350.0,289.54,31
Apple(Fuji),3,Asar,kg,280.0,350.0,321.56,31
Apple(Fuji),4,Shrawan,kg,300.0,400.0,357.29,32
Apple(Fuji),5,Bhadra,kg,250.0,380.0,344.35,31
Apple(Fuji),6,Ashwin,kg,320.0,350.0,335.0,11
Apple(Jholey),1,Baisakh,kg,150.0,220.0,190.59,17
Apple(Jholey),2,Jestha,kg,280.0,300.0,293.33,1
Apple(Jholey),5,Bhadra,kg,250.0,300.0,277.5,2
Apple(Jholey),6,Ashwin,kg,260.0,300.0,288.0,10
Arum,1,Baisakh,kg,40.0,50.0,45.0,18
Arum,3,Asar,kg,60.0,70.0,66.11,3
Arum,4,Shrawan,kg,50.0,80.0,67.41,29
Arum,5,Bhadra,kg,60.0,80.0,67.18,31
Arum,6,Ashwin,kg,60.0,80.0,66.97,11
Asparagus,1,Baisakh,kg,250.0,400.0,306.07,31
Asparagus,2,Jestha,kg,150.0,400.0,270.18,32
Asparagus,3,Asar,kg,150.0,300.0,241.67,31
Asparagus,4,Shrawan,kg,250.0,600.0,381.41,32
Asparagus,5,Bhadra,kg,350.0,650.0,505.38,31
Asparagus,6,Ashwin,kg,400.0,500.0,461.36,11
Avocado,1,Baisakh,kg,400.0,600.0,502.69,31
Avocado,2,Jestha,kg,400.0,700.0,491.67,32
Avocado,3,Asar,kg,500.0,700.0,613.71,31
Avocado,4,Shrawan,kg,500.0,600.0,548.39,31
Avocado,5,Bhadra,kg,200.0,600.0,319.09,31
Avocado,6,Ashwin,kg,200.0,300.0,247.73,11
Bakula,1,Baisakh,kg,60.0,100.0,75.1,16
Bakula,2,Jestha,kg,130.0,150.0,140.56,3
Bakula,3,Asar,kg,150.0,160.0,155.0,1
Bamboo Shoot,1,Baisakh,kg,90.0,100.0,95.61,30
