District,Rice_Area_Ha,Rice_Production_Mt,Rice_Yield_Mt_per_Ha,Wheat_Area_Ha,Wheat_Production_Mt,Wheat_Yield_Mt_per_Ha,Potato_Area_Ha,Potato_Production_Mt,Potato_Yield_Mt_per_Ha,Cauliflower_Yield_Mt_per_ha,Tomato_Yield_Mt_per_ha
Achham,10705,22909,2.14,10730,17168,1.6,670,9782,14.6,12.5,17
Arghakhanchi,7064,22266,3.15,5245,14424,2.75,820,13110,15.99,13,18
Baglung,5717,20302,3.55,6005,15072,2.51,3655,59650,16.32,14,19
Baitadi,4956,11647,2.35,12400,22996,1.85,950,16245,17.1,11.8,16
Bajhang,6135,16012,2.61,9372,16879,1.8,1620,25596,15.8,10.5,13
Bajura,4050,10611,2.62,6450,9675,1.5,1180,18644,15.8,10,12
Banke,30396,110943,3.65,23510,79090,3.36,3210,43335,13.5,18.8,24
Bara,55660,248133,4.46,29700,103950,3.5,7450,134845,18.1,19.6,26
Bardiya,48971,205859,4.2,22900,83550,3.65,4300,70950,16.5,19.2,25
Bhaktapur,3891,19922,5.12,1892,9782,5.17,960,22464,23.4,15.8,20
Bhojpur,14522,43279,2.98,414,745,1.8,3268,56929,17.42,13.2,17
Chitwan,27378,109822,4.01,3460,15224,4.4,2020,32724,16.2,20,27
Dadeldhura,4732,14669,3.1,7600,14440,1.9,1500,30000,20,11.7,16
Dailekh,7925,26501,3.34,13285,15405,1.16,1924,33450,17.39,12.8,17
Dang,37630,144261,3.83,12235,39215,3.21,2535,40365,15.92,18.9,25
Darchula,3521,9542,2.71,5965,10396,1.74,668,10755,16.1,10.2,12
Dhading,13545,55600,4.1,4650,13113,2.82,1800,32220,17.9,15.4,19
Dhankuta,6355,23303,3.67,,,,2119,41151,19.42,16.2,18
Dhanusha,55730,187092,3.36,34000,115600,3.4,2650,42665,16.1,19.4,26
Dolakha,2814,6894,2.45,4243,7553,1.78,3069,55948,18.23,13.5,17
Dolpa,200,322,1.61,2375,4065,1.71,715,12023,16.82,9.8,11
Doti,8435,19738,2.34,10290,17209,1.67,1433,23501,16.4,11,15
Gorkha,11225,43510,3.88,2500,5925,2.37,2550,51255,20.1,14.5,18
Gulmi,7556,29158,3.86,6480,19375,2.99,872,14626,16.77,15,19
Humla,626,983,1.57,1072,1137,1.06,860,13950,16.22,9.5,10
Illam,11969,43034,3.6,4580,11679,2.55,6996,118932,17,16.8,18
Jajarkot,2565,8795,3.43,10432,25110,2.41,1280,21972,17.17,12,16
Jhapa,92910,407753,4.39,5000,13505,2.7,15792,258357,16.36,20.2,28
Jumla,2850,4854,1.7,2461,5400,2.19,2240,39170,17.49,10.3,12
Kailali,71380,322646,4.52,39565,145995,3.69,4500,68850,15.3,19.8,26
Kalikot,2322,4899,2.11,5606,11594,2.07,1250,20980,16.78,10.1,12
Kanchanpur,48606,161447,3.32,31210,100808,3.23,1800,27000,15,20.1,27
Kapilbastu,65855,234444,3.56,28305,97540,3.45,2592,38920,15.02,19.7,26
Kaski,18386,57692,3.14,5500,13805,2.51,1786,35644,19.96,15.9,20
Kathmandu,5556,25058,4.51,2043,9480,4.64,918,20655,22.5,16.5,21
Kavre,9980,38400,3.85,8550,24795,2.9,9163,189033,20.63,16,20
Khotang,12149,34369,2.83,3530,6531,1.85,2913,54182,18.6,13,17
Lalitpur,4012,17894,4.46,2502,9357,3.74,983,19169,19.5,16.2,20
Lamjung,13305,44861,3.37,15,39,2.62,1975,37545,19.01,15.2,19
Mahottari,34135,119735,3.51,29320,98640,3.36,2700,42390,15.7,19.3,26
Makwanpur,12070,48316,4,3840,13440,3.5,5550,118770,21.4,16.8,21
Manang,,,,105,247,2.35,737,14777,20.05,9.2,11
Morang,88045,392465,4.46,11755,33687,2.87,6050,90145,14.9,20.3,28
Mugu,565,850,1.5,1782,3276,1.84,708,11832,16.71,9.3,11
Mustang,,,,74,125,1.69,315,6363,20.2,9.6,12
Myagdi,3830,13562,3.54,2400,5952,2.48,1650,25493,15.45,15.3,19
N E,1447789,5486472,3.79,,,,,,,19.6,26
Nawalparasi,20505,84278,4.11,,,,,,,20,27
Nawalparasi East,19926,81950,4.11,7110,19481,2.74,,,,19.7,26
Nawalparasi West,20505,84278,4.11,,,,1649,22605,13.71,15.7,20
Nuwakot,17847,75223,4.21,4493,16021,3.57,4490,87106,19.4,13.1,17
Okhaldhunga,4043,12004,2.97,2145,3330,1.55,2944,47104,16,14.8,19
Palpa,8610,27100,3.15,5760,13248,2.3,805,12236,15.2,16.1,18
Panchthar,7762,22864,2.95,3902,6476,1.66,2525,43430,17.2,15,19
Parbat,7625,27980,3.67,2230,5441,2.44,1300,18790,14.45,20.1,27
Parsa,47130,199047,4.22,26065,97612,3.74,2562,42499,16.59,14.2,18
Pyuthan,5989,22944,3.83,8696,25114,2.89,1660,26052,15.69,13,17
Ramechap,8629,18747,2.17,3674,8560,2.33,3278,50088,15.28,12.5,16
Rasuwa,1187,2629,2.22,759,1230,1.62,2626,42418,16.15,20,27
Rautahat,36943,132479,3.59,15900,57000,3.58,2650,42665,16.1,13.5,17
Rolpa,4438,12648,2.85,8598,22219,2.58,2075,34653,16.7,13,16
Rukum,1419,4414,3.11,,,,,,,13,16
Rukum East,1419,4414,3.11,,,,1204,22595,18.77,13,16
Rukum West,2051,5435,2.65,,,,650,11150,17.15,20.2,27
Rupandehi,63557,252998,3.98,26702,105695,3.96,2385,35945,15.07,13.6,17
Salyan,6858,23930,3.49,13125,28528,2.17,1680,29098,17.32,13.2,17
Sankhuwasabha,12033,37661,3.13,715,1650,2.31,2700,40500,15,19.8,26
Saptari,50445,170473,3.38,19400,70500,3.63,6463,104054,16.1,20,27
Sarlahi,46905,164640,3.51,23367,78279,3.35,2480,44640,18,15.8,20
Sindhuli,14070,54171,3.85,5083,13712,2.7,2550,45980,18.03,15.5,19
Sindhupalchok,9335,27771,2.97,6898,11175,1.62,3620,66427,18.35,19.9,26
Siraha,48392,167244,3.46,14230,52800,3.71,2995,47621,15.9,10.8,13
Solukhumbu,1275,3589,2.81,2665,5306,1.99,5129,83603,16.3,20.4,28
Sunsari,53041,218012,4.11,12127,41195,3.4,3028,48751,16.1,16,20
Surkhet,12665,52904,4.18,12192,35370,2.9,1350,24020,17.79,15.1,19
Syangja,15841,59904,3.78,4175,12024,2.88,960,15936,16.6,15.6,20
Tanahu,10525,41360,3.93,1200,3012,2.51,1856,29882,16.1,12.8,16
Taplejung,6423,19438,3.03,1537,2875,1.87,4270,76860,18,13.4,17
Terhathum,7886,22617,2.87,2399,4796,2,3039,54702,18,16.7,21
Udayapur,14205,55670,3.92,5130,12825,2.5,1018,16390,16.1,,
